排名,名字,评分,导演,类型,国家,年份,评价
75,玛丽和马克思,8.9,亚当·艾略特,剧情 动画,澳大利亚,2009,你是我最好的朋友，你是我唯一的朋友 。
76,让子弹飞,8.7,姜文,剧情 喜剧 动作 西部,中国大陆 香港,2010,你给我翻译翻译，神马叫做TMD的惊喜。
77,春光乍泄,8.8,王家卫,剧情 爱情 同性,香港 日本 韩国,1997,爱情纠缠，男女一致。
78,心灵捕手,8.7,格斯·范·桑特,剧情,美国,1997,人生中应该拥有这样的一段豁然开朗。
79,大闹天宫,9.2,万籁鸣,1978(中国大陆),1964(中国大陆),1961(中国大陆),经典之作，历久弥新。
80,幽灵公主,8.8,宫崎骏,动作 爱情 战争 动画 奇幻 冒险,日本,1997,人与自然的战争史诗。
81,阳光灿烂的日子,8.7,姜文,剧情,中国大陆 香港,1994,一场华丽的意淫。
82,第六感,8.8,M·奈特·沙马兰,剧情 悬疑 惊悚,美国,1999,深入内心的恐怖，出人意料的结局。
83,重庆森林,8.7,王家卫,剧情 爱情,香港,1994,寂寞没有期限。
84,大鱼,8.7,蒂姆·波顿,剧情 家庭 奇幻 冒险,美国,2003,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
85,射雕英雄传之东成西就,8.7,刘镇伟,喜剧 古装,香港,1993,百看不厌。 
86,禁闭岛,8.6,Martin,剧情 悬疑 惊悚,美国,2010,昔日翩翩少年，今日大腹便便。
87,甜蜜蜜,8.8,陈可辛,剧情 爱情,香港,1996,相逢只要一瞬间，等待却像是一辈子。
88,狩猎,9,托马斯·温特伯格,剧情,丹麦 瑞典,2012,人言可畏。
89,阳光姐妹淘,8.8,姜炯哲,剧情 喜剧,韩国,2011,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
90,一一,8.9,杨德昌,剧情 爱情 家庭,台湾 日本,2000,我们都曾经是一一。
91,末代皇帝,8.9,贝纳尔多·贝托鲁奇,剧情 传记 历史,意大利 中国大陆 英国 法国,1987,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
92,致命ID,8.6,James,剧情 悬疑 惊悚,美国,2003,最不可能的那个人永远是最可能的。
93,上帝之城,8.9,Kátia,犯罪 剧情,巴西 法国,2002,被上帝抛弃了的上帝之城。
94,看不见的客人,8.7,奥里奥尔·保罗,犯罪 悬疑 惊悚,西班牙,2016,你以为你以为的就是你以为的。
95,告白,8.7,中岛哲也,剧情 惊悚,日本,2010,没有一人完全善，也没有一人完全恶。
96,布达佩斯大饭店,8.7,韦斯·安德森,剧情 喜剧,美国 德国 英国,2014,小清新的故事里注入了大历史的情怀。
97,断背山,8.6,李安,剧情 爱情 同性 家庭,美国 加拿大,2005,每个人心中都有一座断背山。
98,加勒比海盗,8.6,戈尔·维宾斯基,动作 冒险 奇幻,美国,2003,约翰尼·德普的独角戏。
99,猫鼠游戏,8.7,史蒂文·斯皮尔伯格,传记 犯罪 剧情,美国 加拿大,2002,骗子大师和执著警探的你追我跑故事。 
100,哈利·波特与魔法石,8.7,Chris,奇幻 冒险,美国 英国,2001,童话世界的开端。
101,摩登时代,9.2,查理·卓别林,喜剧 剧情 爱情,美国,1936,大时代中的人生，小人物的悲喜。
102,爱在黎明破晓前,8.7,理查德·林克莱特,剧情 爱情,美国 奥地利 瑞士,1995,缘分是个连绵词，最美不过一瞬。
103,阿凡达,8.6,詹姆斯·卡梅隆,动作 冒险 奇幻 科幻,美国 英国,2009,绝对意义上的美轮美奂。
104,风之谷,8.8,宫崎骏,科幻 动画 奇幻 冒险,日本,1984,动画片的圣经。
105,穿条纹睡衣的男孩,8.9,马克·赫门,剧情 战争,英国 美国,2008,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
106,爱在日落黄昏时,8.7,理查德·林克莱特,剧情 爱情,美国,2004,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
107,侧耳倾听,8.8,近藤喜文,剧情 爱情 动画 音乐,日本,1995,少女情怀总是诗。
108,消失的爱人,8.7,大卫·芬奇,剧情 犯罪 悬疑 惊悚,美国,2014,年度最佳date movie。
109,萤火虫之墓,8.7,高畑勋,动画 剧情 战争,日本,1988,幸福是生生不息，却难以触及的远。 
110,超脱,8.8,托尼·凯耶,剧情,美国,2011,穷尽一生，我们要学会的，不过是彼此拥抱。
111,驯龙高手,8.7,迪恩·德布洛斯,喜剧 动画 奇幻 冒险 家庭,美国,2010,和谐的生活离不开摸头与被摸头。
112,倩女幽魂,8.6,程小东,剧情 爱情 武侠 古装,香港,1987,两张绝世的脸。 
113,恐怖直播,8.7,金秉祐,剧情 犯罪 悬疑,韩国,2013,恐怖分子的“秋菊打官司”。
114,红辣椒,8.9,今敏,动画 悬疑 科幻 惊悚,日本,2006,梦的勾结。
115,菊次郎的夏天,8.7,北野武,剧情 喜剧,日本,1999,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
116,幸福终点站,8.6,史蒂文·斯皮尔伯格,喜剧 剧情 爱情,美国,2004,有时候幸福需要等一等。 
117,七武士,9.2,黑泽明,动作 冒险 剧情,日本,1954,时代悲歌。
118,海洋,9,雅克·贝汉,纪录片,法国 瑞士 西班牙 美国 阿联酋,2009,大海啊，不全是水。
119,岁月神偷,8.6,罗启锐,剧情 家庭,香港 中国大陆,2010,岁月流逝，来日可追。
120,神偷奶爸,8.5,皮艾尔·柯芬,喜剧 动画 冒险,美国 法国,2010,Mr. I Don't Care其实也有Care的时候。
121,借东西的小人阿莉埃蒂,8.7,米林宏昌,动画 奇幻 冒险,日本,2010,曾经的那段美好会沉淀为一辈子的记忆。
122,电锯惊魂,8.7,詹姆斯·温,悬疑 惊悚 恐怖,美国,2004,真相就在眼前。
123,谍影重重3,8.7,保罗·格林格拉斯,动作 悬疑 惊悚,美国 德国,2007,像吃了苏打饼一样干脆的电影。
124,杀人回忆,8.6,奉俊昊,犯罪 剧情 悬疑 惊悚,韩国,2003,关于连环杀人悬案的集体回忆。
125,贫民窟的百万富翁,8.5,丹尼·鲍尔,剧情 爱情,英国 美国,2008,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
126,真爱至上,8.5,理查德·柯蒂斯,喜剧 剧情 爱情,英国 美国 法国,2003,爱，是个动词。
127,雨人,8.6,巴瑞·莱文森,剧情,美国,1988,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
128,东邪西毒,8.6,王家卫,剧情 动作 爱情 武侠 古装,香港 台湾,1994,电影诗。
129,燃情岁月,8.7,爱德华·兹威克,剧情 爱情 西部 家庭,美国,1994,传奇，不是每个人都可以拥有。
130,记忆碎片,8.5,克里斯托弗·诺兰,犯罪 剧情 悬疑 惊悚,美国,2000,一个针管引发的血案。
131,小森林 夏秋篇,8.9,森淳一,剧情,日本,2014,那些静得只能听见呼吸的日子里，你明白孤独即生活。
